Episode,Metrica 1,Metrica 2,Metrica 3,Metrica 4,Metrica 5,Metrica 6,Metrica 7,Reward
318,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
319,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
320,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
321,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
322,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
323,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
324,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
325,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
326,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
327,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
328,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
329,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
330,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
331,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
332,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
333,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
334,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
335,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
336,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
337,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
338,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
339,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
340,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
341,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
342,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
343,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
344,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
345,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
346,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
347,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
348,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
349,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
350,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
351,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
352,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
353,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
354,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
355,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
356,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
357,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
358,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
359,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
360,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
361,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
362,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
363,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
364,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
365,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
366,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
367,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
368,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
369,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
370,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
371,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
372,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
373,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
374,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
375,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
376,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
377,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
378,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
379,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
380,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
381,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
382,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
383,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
384,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
385,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
386,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
387,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
388,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
389,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
390,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
391,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
392,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
393,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
394,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
395,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
396,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
397,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
398,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
399,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
400,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
401,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
402,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
403,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
404,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
405,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
406,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
407,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
408,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
409,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
410,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
411,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
412,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
413,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
414,0.0,0.0,100.0,0.0,100.0,nan,0.0,-64
